ŽžŠÔ,‹C‰·,Ž¼“x
2023/6/15 0:00,21,74
2023/6/15 0:30,21.1,74
2023/6/15 1:00,21.5,74
2023/6/15 1:30,21.9,69
2023/6/15 2:00,22,69
2023/6/15 2:30,22.2,69
2023/6/15 3:00,22.4,73
2023/6/15 3:30,22.5,76
2023/6/15 4:00,22.8,72
2023/6/15 4:30,22.9,72
2023/6/15 5:00,23.1,71
2023/6/15 5:30,23.3,69
2023/6/15 6:00,23.5,68
2023/6/15 6:30,23.6,68
2023/6/15 7:00,23.8,68
2023/6/15 7:30,24,68
2023/6/15 8:00,24.1,65
2023/6/15 8:30,24.2,64
2023/6/15 9:00,24.7,63
2023/6/15 9:30,24.9,63
2023/6/15 10:00,25,63
2023/6/15 10:30,25.7,63
2023/6/15 11:00,26.1,63
2023/6/15 11:30,26.4,63
2023/6/15 12:00,26.8,62
2023/6/15 12:30,27.1,61
2023/6/15 13:00,28.1,60
2023/6/15 13:30,28.5,59
2023/6/15 14:00,29,58
2023/6/15 14:30,29.5,57
2023/6/15 15:00,30.1,55
2023/6/15 15:30,30.5,53
2023/6/15 16:00,29.8,50
2023/6/15 16:30,29.5,49
2023/6/15 17:00,28.9,50
2023/6/15 17:30,28.5,52
2023/6/15 18:00,28.1,54
2023/6/15 18:30,27.5,55
2023/6/15 19:00,27.2,56
2023/6/15 19:30,26.9,58
2023/6/15 20:00,25.5,60
2023/6/15 20:30,25.1,61
2023/6/15 21:00,24.7,66
2023/6/15 21:30,24.1,70
2023/6/15 22:00,23.6,71
2023/6/15 22:30,23.1,71
2023/6/15 23:00,22.9,73
2023/6/15 23:30,22,73
