îÑè„ì˙,å¬êî,îÑè„ã‡äz
2022/9/1,11,110000
2022/9/2,14,140000
2022/9/3,10,100000
2022/9/4,7,70000
2022/9/5,9,90000
2022/9/6,6,60000
2022/9/7,13,130000
2022/9/8,12,120000
2022/9/9,17,170000
2022/9/10,10,100000
2022/9/11,20,200000
2022/9/12,18,180000
2022/9/13,16,160000
2022/9/14,12,120000
2022/9/15,7,70000
2022/9/16,4,40000
2022/9/17,12,120000
2022/9/18,16,160000
2022/9/19,18,180000
2022/9/20,15,150000
2022/9/21,13,130000
2022/9/22,9,90000
2022/9/23,5,50000
2022/9/24,2,20000
2022/9/25,7,70000
2022/9/26,10,100000
2022/9/27,13,130000
2022/9/28,15,150000
2022/9/29,17,170000
2022/9/30,14,140000
