,気圧(hPa),ジオポテンシャル高度(m),気温(℃),相対湿度(%),風速(m/s),風向(°)
0,1000.0,-12.0,,,,
1,925.0,646.0,12.8,100.0,15.0,198.0
2,900.0,877.0,12.1,100.0,20.0,209.0
3,850.0,1354.0,10.0,100.0,18.0,227.0
4,800.0,1859.0,8.3,100.0,19.0,236.0
5,700.0,2954.0,2.9,96.0,29.0,238.0
6,600.0,4186.0,-2.6,100.0,28.0,230.0
7,500.0,5621.0,-9.3,99.0,33.0,236.0
8,400.0,7316.0,-19.9,94.0,39.0,239.0
9,350.0,8293.0,-27.2,87.0,39.0,236.0
10,300.0,9384.0,-36.0,81.0,35.0,228.0
11,250.0,10619.0,-47.0,,38.0,219.0
12,200.0,12051.0,-56.8,,40.0,231.0
13,175.0,12896.0,-56.1,,40.0,260.0
14,150.0,13875.0,-56.6,,42.0,272.0
15,125.0,15019.0,-60.4,,37.0,275.0
16,100.0,16403.0,-62.5,,27.0,282.0
17,70.0,18565.0,-67.7,,19.0,303.0
18,50.0,0.0,,,,
19,40.0,0.0,,,,
20,30.0,0.0,,,,
21,20.0,0.0,,,,
22,15.0,0.0,,,,
23,10.0,0.0,,,,
24,5.0,0.0,,,,
